The SAS System                                                                          22:04 Friday, March 22, 2019   1

The MEANS Procedure

Variable      N            Mean         Std Dev         Minimum         Maximum
-------------------------------------------------------------------------------
rsupply1    126       0.2004935       0.0559163       0.1014776       0.4533919
rsupply2    126       0.4014178       0.0481970       0.2729943       0.5343126
rsupply3    126       0.2013769       0.0360395       0.1051508       0.2963646
rsupply4    126       0.1967118       0.0456162       0.1202013       0.3857934
rsupply5    126       0.1034627       0.0205008       0.0516958       0.1595037
rsupply6    126       0.0932491       0.0288320       0.0497517       0.2441473
shs         126       0.6424517       0.0441542       0.4715993       0.7399784
scoll1      126       0.2974002       0.0534630       0.1969075       0.4905750
scoll2      126       0.3160501       0.0588206       0.2068579       0.5394045
logrels1    126      -0.7833689       0.2449052      -1.3122372       0.0394485
logrels2    126      -0.7235243       0.2501457      -1.2601523       0.1343360
-------------------------------------------------------------------------------
The SAS System                                                                          22:04 Friday, March 22, 2019   2

The CORR Procedure

  11  Variables:    rsupply1 rsupply2 rsupply3 rsupply4 rsupply5 rsupply6 shs      scoll1   scoll2   logrels1 logrels2 


                                    Simple Statistics
 
Variable           N          Mean       Std Dev           Sum       Minimum       Maximum

rsupply1         124       0.19995       0.05610      24.79396       0.10148       0.45339
rsupply2         124       0.40080       0.04833      49.69964       0.27299       0.53431
rsupply3         124       0.20187       0.03608      25.03230       0.10515       0.29636
rsupply4         124       0.19737       0.04561      24.47410       0.12020       0.38579
rsupply5         124       0.10377       0.02049      12.86734       0.05170       0.15950
rsupply6         124       0.09360       0.02890      11.60677       0.04975       0.24415
shs              124       0.64171       0.04405      79.57156       0.47160       0.73998
scoll1           124       0.29831       0.05330      36.99025       0.19691       0.49058
scoll2           124       0.31703       0.05867      39.31161       0.20686       0.53940
logrels1         124      -0.77898       0.24378     -96.59394      -1.31224       0.03945
logrels2         124      -0.71910       0.24907     -89.16802      -1.26015       0.13434


                                      Pearson Correlation Coefficients, N = 124 
                                              Prob > |r| under H0: Rho=0
 
          rsupply1  rsupply2  rsupply3  rsupply4  rsupply5  rsupply6       shs    scoll1    scoll2  logrels1  logrels2

rsupply1   1.00000  -0.22699  -0.55202  -0.55272  -0.42505  -0.57110   0.41633  -0.65981  -0.65571  -0.61044  -0.61077
                      0.0112    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001

rsupply2  -0.22699   1.00000  -0.35518  -0.49955  -0.44147  -0.47554   0.74943  -0.54770  -0.54444  -0.59788  -0.59343
            0.0112              <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001

rsupply3  -0.55202  -0.35518   1.00000   0.26436   0.12585   0.32807  -0.47231   0.56464   0.54530   0.55959   0.54805
            <.0001    <.0001              0.0030    0.1637    0.0002    <.0001    <.0001    <.0001    <.0001    <.0001

rsupply4  -0.55272  -0.49955   0.26436   1.00000   0.89100   0.94678  -0.93257   0.94524   0.95203   0.94169   0.94651
            <.0001    <.0001    0.0030              <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001

rsupply5  -0.42505  -0.44147   0.12585   0.89100   1.00000   0.69744  -0.81176   0.80509   0.80014   0.81646   0.81368
            <.0001    <.0001    0.1637    <.0001              <.0001    <.0001    <.0001    <.0001    <.0001    <.0001

rsupply6  -0.57110  -0.47554   0.32807   0.94678   0.69744   1.00000  -0.89652   0.92126   0.93548   0.90758   0.91717
            <.0001    <.0001    0.0002    <.0001    <.0001              <.0001    <.0001    <.0001    <.0001    <.0001

shs        0.41633   0.74943  -0.47231  -0.93257  -0.81176  -0.89652   1.00000  -0.95791  -0.95859  -0.97102  -0.97116
            <.0001    <.0001    <.0001    <.0001    <.0001    <.0001              <.0001    <.0001    <.0001    <.0001

scoll1    -0.65981  -0.54770   0.56464   0.94524   0.80509   0.92126  -0.95791   1.00000   0.99927   0.99525   0.99547
            <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001              <.0001    <.0001    <.0001

scoll2    -0.65571  -0.54444   0.54530   0.95203   0.80014   0.93548  -0.95859   0.99927   1.00000   0.99360   0.99475
            <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001              <.0001    <.0001

logrels1  -0.61044  -0.59788   0.55959   0.94169   0.81646   0.90758  -0.97102   0.99525   0.99360   1.00000   0.99968
            <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001              <.0001
The SAS System                                                                          22:04 Friday, March 22, 2019   3

The CORR Procedure

                                      Pearson Correlation Coefficients, N = 124 
                                              Prob > |r| under H0: Rho=0
 
          rsupply1  rsupply2  rsupply3  rsupply4  rsupply5  rsupply6       shs    scoll1    scoll2  logrels1  logrels2

logrels2  -0.61077  -0.59343   0.54805   0.94651   0.81368   0.91717  -0.97116   0.99547   0.99475   0.99968   1.00000
            <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001    <.0001          
The SAS System                                                                          22:04 Friday, March 22, 2019   4

Obs    rmsa      supply      rsupply1    rsupply2    rsupply3    rsupply4    rsupply5    rsupply6

  1       .    7729165909     0.21172     0.40640     0.19073     0.19115     0.10055     0.09060
  2       0    1665962027     0.26110     0.44554     0.15726     0.13610     0.07519     0.06092
  3       1     999524477     0.20712     0.43346     0.18393     0.17548     0.09377     0.08171
  4    4480     267466013     0.22912     0.32130     0.24810     0.20148     0.09794     0.10354
  5    5600     265255677     0.23500     0.34184     0.17755     0.24561     0.11624     0.12937
  6    1600     264665416     0.21051     0.37044     0.19872     0.22034     0.11939     0.10095
  7    6160     157641006     0.19466     0.43419     0.15634     0.21480     0.11430     0.10051
  8    2160     145953461     0.20084     0.41868     0.20535     0.17514     0.08697     0.08816
  9    8840     135067111     0.14065     0.32261     0.19092     0.34582     0.14758     0.19824
 10    3360     113150573     0.22309     0.32898     0.21113     0.23680     0.13201     0.10478
 11    1120     104384137     0.13802     0.36928     0.19659     0.29611     0.14481     0.15130
 12    1920     101114987     0.21112     0.34153     0.22011     0.22724     0.12866     0.09858
 13    5380      89143648     0.14118     0.40693     0.21161     0.24028     0.11880     0.12148
 14    6280      85792895     0.15913     0.50544     0.15125     0.18417     0.10200     0.08218
 15     520      85371689     0.22552     0.35462     0.19639     0.22347     0.13024     0.09323
 16    5120      83570602     0.11261     0.42949     0.21785     0.24005     0.13782     0.10223
 17     720      79759210     0.24717     0.38528     0.16509     0.20246     0.09393     0.10853
 18    1680      79385091     0.19875     0.44324     0.17824     0.17977     0.10054     0.07923
 19    7040      79253264     0.20860     0.40474     0.19061     0.19605     0.10442     0.09163
 20    5945      75651981     0.14905     0.33318     0.27874     0.23903     0.11918     0.11984
 21    7320      67419000     0.15597     0.38234     0.26012     0.20157     0.09361     0.10797
 22    5775      64261970     0.12652     0.35207     0.26743     0.25398     0.11690     0.13708
 23    5640      62577678     0.19653     0.38008     0.16640     0.25699     0.13875     0.11825
 24    7600      62421191     0.11550     0.37297     0.25271     0.25882     0.13316     0.12566
 25    5000      60133683     0.23995     0.34066     0.21877     0.20062     0.10644     0.09417
 26    7360      58093241     0.12138     0.29347     0.26259     0.32256     0.15950     0.16306
 27    6200      57326858     0.17776     0.38948     0.24655     0.18621     0.09535     0.09085
 28    2080      57253395     0.13362     0.36831     0.23718     0.26089     0.13994     0.12095
 29    5080      52336012     0.17084     0.44721     0.18602     0.19593     0.10996     0.08597
 30    6780      52002691     0.20055     0.38684     0.25683     0.15578     0.07135     0.08444
 31    3760      51477931     0.16033     0.42794     0.20308     0.20866     0.11727     0.09139
 32    7400      50865996     0.14002     0.31143     0.27043     0.27812     0.12781     0.15031
 33    8280      49222132     0.19933     0.42303     0.20993     0.16771     0.10038     0.06732
 34    1640      49015716     0.23914     0.40338     0.16879     0.18869     0.09741     0.09128
 35     875      48648798     0.19344     0.39431     0.16520     0.24705     0.13474     0.11231
 36    6440      48606973     0.13678     0.38983     0.25303     0.22036     0.11373     0.10662
 37    3480      48120012     0.21442     0.45327     0.15696     0.17535     0.09348     0.08187
 38    5720      46201099     0.21435     0.42349     0.19478     0.16739     0.09611     0.07128
 39    5560      44710898     0.24716     0.38211     0.18033     0.19040     0.10604     0.08436
 40    1280      40864797     0.19592     0.42595     0.19588     0.18225     0.08970     0.09255
 41    3280      40272722     0.18588     0.39605     0.18632     0.23175     0.11850     0.11325
 42    3120      40040527     0.31238     0.36831     0.15902     0.16029     0.10121     0.05908
 43    1840      39360104     0.17993     0.42494     0.18409     0.21104     0.11328     0.09776
 44    6840      39039788     0.17586     0.41803     0.19080     0.21531     0.11202     0.10329
 45    1520      37949184     0.31653     0.33428     0.18707     0.16212     0.10721     0.05491
 46    5015      37748122     0.16765     0.42718     0.16193     0.24324     0.12701     0.11623
 47    7240      36744910     0.24082     0.36896     0.21364     0.17658     0.08493     0.09165
 48    6920      36021827     0.11184     0.37159     0.29636     0.22021     0.10441     0.11581
 49    2000      35549302     0.19060     0.45861     0.16912     0.18167     0.08864     0.09303
 50    4520      35278697     0.24530     0.43441     0.17355     0.14675     0.07889     0.06786
 51    6480      34021586     0.29399     0.38442     0.14733     0.17427     0.09930     0.07497
 52    2680      33852865     0.18776     0.41117     0.22362     0.17745     0.10519     0.07226
 53    3320      31555655     0.13307     0.42994     0.20943     0.22756     0.11958     0.10798
 54    5360      31262796     0.23795     0.39896     0.17265     0.19044     0.10725     0.08319
 55    5880      31193842     0.17198     0.39782     0.23247     0.19772     0.10135     0.09637
 56    7160      30565313     0.14268     0.38983     0.26587     0.20162     0.10207     0.09955
The SAS System                                                                          22:04 Friday, March 22, 2019   5

Obs    rmsa     supply     rsupply1    rsupply2    rsupply3    rsupply4    rsupply5    rsupply6

 57    6760    30138518     0.25324     0.35244     0.18021     0.21410     0.12544     0.08867
 58    1000    29440019     0.22340     0.39575     0.19276     0.18809     0.10604     0.08205
 59    5960    28541024     0.20461     0.41592     0.20481     0.17467     0.10724     0.06743
 60    3160    28360353     0.36476     0.34094     0.15446     0.13985     0.08404     0.05581
 61    8160    27010363     0.18615     0.43740     0.17779     0.19866     0.09997     0.09869
