The SAS System                                                                       21:10 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             2783380      27.6958545      95.8526202       1.0000000      56.0000000
msa               2783380         5615.19        19020.07      40.0000000         9999.00
age               2783380      37.7070073      70.2849439      18.0000000      68.0000000
pob               2783380      54.2092068     496.7109026       1.0000000     555.0000000
ind               2783380     572.7593822         1680.56      10.0000000     960.0000000
hispanic          2783380       0.0831293       1.6867795               0       1.0000000
imm               2783380       0.0941001       1.7838670               0       1.0000000
educ              2783380      12.9458856      17.3737636               0      20.0000000
eclass            2783380       2.5785071       6.2017931       1.0000000       4.0000000
dropout           2783380       0.1670777       2.2792331               0       1.0000000
somecoll          2783380       0.2932381       2.7814677               0       1.0000000
collplus          2783380       0.2261734       2.5560528               0       1.0000000
advanced          2783380       0.0761703       1.6207497               0       1.0000000
exp               2783380      17.7170708      70.8322623       1.0000000      45.0000000
xclass            2783380       3.9551007      14.1179806       1.0000000       9.0000000
annhrs            2783380         1836.70         4651.71       1.0000000         5148.00
owage             2783380      12.8372364     688.1248578     0.000237417       195516.00
logwage2          2783380       2.2623675       4.0806254       0.9212783       5.1209834
female            2783380       0.4716726       3.0499952               0       1.0000000
c                 2783380       1.0000000               0       1.0000000       1.0000000
inschool          2783380       0.1024498       1.8527303               0       1.0000000
exp2              2783380       4.4829709      30.4962113       0.0100000      20.2500000
exp3              2783380      13.5049535     123.9248731     0.000999999      91.1250000
ic                2783380       0.4378405      36.3865564      -1.0000000      38.0000000
yrsinus           2783380       1.4065927      33.2884637               0      45.0000000
pre_exp           2783380       0.3143813      21.8866058     -27.5000000      43.5000000
pre_exp1          2783380       0.0205921       0.8676802               0       1.0000000
yrsinus2          2783380      31.6632243         1010.58               0         2025.00
euro              2783380       0.0208128       0.8722192               0       1.0000000
hi_asian          2783380       0.0095712       0.5948701               0       1.0000000
mid_asian         2783380       0.0104247       0.6205594               0       1.0000000
mex               2783380       0.0220303       0.8968100               0       1.0000000
euro_ed           2783380       0.2698254      11.7642853               0      20.0000000
euro_coll         2783380       0.0057670       0.4626430               0       1.0000000
hi_asian_ed       2783380       0.1403743       8.9669078               0      20.0000000
hi_asian_coll     2783380       0.0050625       0.4336190               0       1.0000000
mid_asian_ed      2783380       0.1373915       8.5325793               0      20.0000000
mid_asian_coll    2783380       0.0039013       0.3808748               0       1.0000000
mex_ed            2783380       0.1744203       8.1343598               0      20.0000000
mex_coll          2783380     0.000685603       0.1599244               0       1.0000000
euro_yrs          2783380       0.4610680      22.3691052               0      45.0000000
hi_asian_yrs      2783380       0.1148535       8.7394191               0      45.0000000
mid_asian_yrs     2783380       0.1271852       9.2119597               0      45.0000000
mex_yrs           2783380       0.2889257      14.3605548               0      45.0000000
euro_yrs2         2783380      13.6168391     770.7818075               0         2025.00
hi_asian_yrs2     2783380       2.0592148     214.2400811               0         2025.00
mid_asian_yrs2    2783380       2.2894383     235.7727158               0         2025.00
